strategy_id,strategy_name,strategy_category,hypothesis,best_variation,total_variations,valid_variations,selection_mode,cagr,total_return,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,win_rate,consistency_score,beat_benchmark,total_trades,profit_factor,score,parameter_stability,oos_best_variation,oos_validation_score,oos_test_score,oos_test_mean_excess,oos_test_consistency,walk_forward_score,walk_forward_mean_excess,walk_forward_windows
supertrend_syariah_atr_risk,Supertrend Continuation + ATR Risk (Syariah),trend,ATR-based exits scale with volatility and improve risk-adjusted returns.,supertrend_syariah_atr_risk_period10_multiplier2.5_atrMultiplier1.5_riskRewardRatio1.5,36,20,walk_forward,449.18,376.51,6.92,6.92,-22.43,20.03,61.2,100.0,9,209,1.93,18.6138,0.196,"",0.0,0.0,0.0,0.0,20.5375,59.37,1
vwap_above_low_debt,VWAP Support (Low Debt (DE)),multi_factor,Holding above VWAP indicates institutional support and trend persistence. This effect is stronger among low-debt stocks.,vwap_above_low_debt_max0.4,3,3,walk_forward,257.31,221.33,3.1,3.1,-23.23,11.08,44.7,100.0,9,228,1.55,18.223,0.183,"",0.0,0.0,0.0,0.0,5.3518,16.21,1
volume_spike_syariah,Volume Spike (Syariah),volume,Unusual volume signals informed participation and continuation risk/reward. This effect is stronger within the syariah universe.,volume_spike_syariah_period20_threshold1.5,6,6,walk_forward,346.14,293.87,6.71,6.71,-26.27,13.17,49.8,100.0,9,219,1.76,17.3044,0.26,"",0.0,0.0,0.0,0.0,12.9253,38.72,1
supertrend_low_debt_atr_risk,Supertrend Continuation + ATR Risk (Low Debt),multi_factor,ATR-based exits improve risk-adjusted returns in low-debt trend followers.,supertrend_low_debt_atr_risk_period14_multiplier2.5_max0.4_atrMultiplier2.0_riskRewardRatio2.5,108,56,walk_forward,394.89,333.15,5.52,5.52,-20.95,18.85,61.6,100.0,9,86,3.05,17.2985,0.229,"",0.0,0.0,0.0,0.0,-inf,53.65,1
vpt_momentum_low_debt,Volume Price Trend (Low Debt (DE)),multi_factor,VPT momentum suggests demand pressure that sustains price trends. This effect is stronger among low-debt stocks.,vpt_momentum_low_debt_max0.4,3,2,walk_forward,275.41,236.22,3.09,3.09,-23.49,11.72,47.6,100.0,8,225,1.62,17.0977,0.157,"",0.0,0.0,0.0,0.0,2.972,9.49,1
volatility_breakout_base,Volatility Breakout (Baseline),breakout,Volatility spikes often mark the start of directional moves.,volatility_breakout_base_period30_multiplier2.0,9,7,walk_forward,195.4,169.91,2.46,2.46,-24.36,8.02,43.8,77.8,6,242,1.54,16.8972,0.175,"",0.0,0.0,0.0,0.0,16.4793,48.33,1
volume_spike_base,Volume Spike (Baseline),volume,Unusual volume signals informed participation and continuation risk/reward.,volume_spike_base_period10_threshold2.0,6,6,walk_forward,237.89,205.29,5.09,5.09,-15.21,15.64,47.4,100.0,8,196,1.83,15.6642,0.283,"",0.0,0.0,0.0,0.0,11.8558,32.5,1
vwap_above_syariah,VWAP Support (Syariah),volume,Holding above VWAP indicates institutional support and trend persistence. This effect is stronger within the syariah universe.,vwap_above_syariah_v0,1,1,walk_forward,318.27,271.25,3.73,3.73,-22.59,14.09,50.2,100.0,9,205,1.74,15.4108,0.0,"",0.0,0.0,0.0,0.0,6.803,20.18,1
obv_trend_low_debt,OBV Trend (Low Debt (DE)),multi_factor,OBV uptrends reveal accumulation that precedes price moves. This effect is stronger among low-debt stocks.,obv_trend_low_debt_max0.4,3,3,walk_forward,267.63,229.84,3.66,3.66,-22.56,11.86,45.1,100.0,9,224,1.61,14.9319,0.215,"",0.0,0.0,0.0,0.0,8.9042,26.17,1
obv_trend_syariah,OBV Trend (Syariah),volume,OBV uptrends reveal accumulation that precedes price moves. This effect is stronger within the syariah universe.,obv_trend_syariah_v0,1,1,walk_forward,252.37,217.26,3.21,3.21,-26.36,9.57,48.3,100.0,9,209,1.63,14.6188,0.0,"",0.0,0.0,0.0,0.0,6.8018,21.25,1
adx_trend_low_debt,ADX Trend Strength (Low Debt (DE)),multi_factor,Trends with stronger ADX are more likely to continue. This effect is stronger among low-debt stocks.,adx_trend_low_debt_period20_threshold20_max0.6,18,18,walk_forward,164.62,144.01,3.34,3.34,-19.49,8.45,43.5,100.0,7,239,1.55,14.2327,0.325,"",0.0,0.0,0.0,0.0,13.9639,39.75,1
donchian_breakout_syariah,Donchian Breakout (Syariah),breakout,Breaks above multi-week highs tend to continue as shorts cover and momentum traders enter. This effect is stronger within the syariah universe.,donchian_breakout_syariah_period20,3,3,walk_forward,181.94,158.61,3.84,3.84,-25.35,7.18,44.9,100.0,9,225,1.52,14.1151,0.168,"",0.0,0.0,0.0,0.0,1.8743,6.88,1
pivot_support_low_debt_atr_risk,Pivot Support Bounce + ATR Risk (Low Debt),multi_factor,ATR-based exits improve mean-reversion risk control in low-debt names.,pivot_support_low_debt_atr_risk_signalWindow5_max0.3_atrMultiplier2.0_riskRewardRatio2.5,81,26,walk_forward,207.36,179.91,4.46,4.46,-27.3,7.6,50.5,88.9,9,103,1.79,13.846,0.237,"",0.0,0.0,0.0,0.0,-inf,1.29,1
volume_spike_low_debt,Volume Spike (Low Debt (DE)),multi_factor,Unusual volume signals informed participation and continuation risk/reward. This effect is stronger among low-debt stocks.,volume_spike_low_debt_period20_threshold1.3_max0.8,18,11,walk_forward,231.19,199.74,3.64,3.64,-29.62,7.8,46.5,100.0,8,200,1.58,13.6339,0.231,"",0.0,0.0,0.0,0.0,2.8682,10.94,1
volatility_breakout_syariah,Volatility Breakout (Syariah),breakout,Volatility spikes often mark the start of directional moves. This effect is stronger within the syariah universe.,volatility_breakout_syariah_period15_multiplier1.5,9,7,walk_forward,167.56,146.49,3.14,3.14,-18.0,9.31,44.7,100.0,8,199,1.6,13.5592,0.121,"",0.0,0.0,0.0,0.0,12.5073,35.16,1
vpt_momentum_base,Volume Price Trend (Baseline),volume,VPT momentum suggests demand pressure that sustains price trends.,vpt_momentum_base_v0,1,1,walk_forward,153.43,134.53,3.69,3.69,-22.85,6.71,48.1,100.0,9,158,1.63,13.0335,0.0,"",0.0,0.0,0.0,0.0,2.6504,8.39,1
volatility_breakout_value_pe,Volatility Breakout (Value (PE)),multi_factor,Volatility spikes often mark the start of directional moves. This effect is stronger among low-PE stocks.,volatility_breakout_value_pe_period15_multiplier1.5_max12,27,14,walk_forward,139.47,122.66,2.51,25.23,-14.79,9.43,49.3,77.8,7,142,1.85,12.8,0.171,"",0.0,0.0,0.0,0.0,16.1508,44.44,1
supertrend_syariah,Supertrend Continuation (Syariah),trend,Supertrend flips capture persistent trends with adaptive volatility bands. This effect is stronger within the syariah universe.,supertrend_syariah_period21_multiplier2.0,16,16,walk_forward,302.17,258.13,3.63,3.63,-19.18,15.75,50.3,100.0,9,199,1.82,12.7694,0.844,"",0.0,0.0,0.0,0.0,10.6004,30.05,1
sma_trend_syariah,SMA Trend Filter (Syariah),trend,Staying aligned with the prevailing SMA trend improves win rate. This effect is stronger within the syariah universe.,sma_trend_syariah_shortPeriod20_longPeriod100,4,2,walk_forward,183.51,159.93,1.93,1.93,-24.84,7.39,49.0,77.8,6,157,1.73,12.43,0.256,"",0.0,0.0,0.0,0.0,12.1981,36.23,1
volume_dry_up,Volume Dry Up,volume,Volume dry-ups often precede sharp breakouts.,volume_dry_up_v0,1,1,walk_forward,192.58,167.54,4.63,4.63,-20.03,9.61,52.0,100.0,9,148,1.89,12.398,0.0,"",0.0,0.0,0.0,0.0,5.0495,14.44,1
volume_spike_largecap,Volume Spike (Large Cap),volume,Unusual volume signals informed participation and continuation risk/reward. This effect is stronger in large-cap stocks.,volume_spike_largecap_period10_threshold1.5,6,6,walk_forward,189.14,164.66,4.97,4.97,-12.44,15.21,49.7,100.0,9,163,1.8,12.3693,0.313,"",0.0,0.0,0.0,0.0,8.2583,21.43,1
donchian_breakout_low_debt,Donchian Breakout (Low Debt (DE)),multi_factor,Breaks above multi-week highs tend to continue as shorts cover and momentum traders enter. This effect is stronger among low-debt stocks.,donchian_breakout_low_debt_period30_max0.4,9,9,walk_forward,166.35,145.47,3.18,3.18,-16.76,9.92,43.4,100.0,8,235,1.49,12.274,0.288,"",0.0,0.0,0.0,0.0,9.1336,25.17,1
volatility_breakout_low_debt,Volatility Breakout (Low Debt (DE)),multi_factor,Volatility spikes often mark the start of directional moves. This effect is stronger among low-debt stocks.,volatility_breakout_low_debt_period20_multiplier1.5_max0.4,27,11,walk_forward,93.41,83.07,2.19,9.35,-21.48,4.35,41.7,77.8,6,211,1.39,11.0506,0.157,"",0.0,0.0,0.0,0.0,6.1673,18.05,1
volatility_breakout_quality_roe,Volatility Breakout (Quality (ROE)),multi_factor,Volatility spikes often mark the start of directional moves. This effect is stronger among high-ROE stocks.,volatility_breakout_quality_roe_period30_multiplier1.5_min12,27,8,walk_forward,112.36,99.44,2.75,2.75,-14.55,7.72,47.1,77.8,7,138,1.62,11.0195,0.166,"",0.0,0.0,0.0,0.0,11.3844,30.97,1
volume_spike_high_margin,Volume Spike (High Margin (NPM)),multi_factor,Unusual volume signals informed participation and continuation risk/reward. This effect is stronger among high-margin companies.,volume_spike_high_margin_period10_threshold1.5_min15,18,18,walk_forward,133.7,117.74,3.19,3.19,-13.73,9.74,45.7,88.9,9,140,1.61,11.0188,0.236,"",0.0,0.0,0.0,0.0,-inf,1.65,1
adx_trend_syariah,ADX Trend Strength (Syariah),trend,Trends with stronger ADX are more likely to continue. This effect is stronger within the syariah universe.,adx_trend_syariah_period14_threshold20,6,6,walk_forward,238.76,206.01,3.5,3.5,-22.47,10.63,46.2,100.0,9,234,1.61,10.9282,0.576,"",0.0,0.0,0.0,0.0,3.0516,9.42,1
ema_crossover_quality_roe,EMA Crossover Trend (Quality (ROE)),multi_factor,EMA crossovers capture trend accelerations earlier than SMA-based signals. This effect is stronger among high-ROE stocks.,ema_crossover_quality_roe_shortPeriod12_longPeriod20_min16,12,12,walk_forward,133.9,117.91,4.91,4.91,-14.02,9.55,54.2,100.0,9,107,2.34,10.3528,0.229,"",0.0,0.0,0.0,0.0,-inf,5.27,1
supertrend_syariah_lowvol,Supertrend Continuation + Low-Vol Regime (Syariah),trend,"Trend-following performs better in low-volatility, risk-on regimes.",supertrend_syariah_lowvol_period10_multiplier2.5_period15_lookback60,16,16,walk_forward,145.77,128.03,3.05,3.05,-20.87,6.98,49.6,88.9,8,139,1.76,9.8052,0.158,"",0.0,0.0,0.0,0.0,5.4161,15.72,1
donchian_breakout_high_margin,Donchian Breakout (High Margin (NPM)),multi_factor,Breaks above multi-week highs tend to continue as shorts cover and momentum traders enter. This effect is stronger among high-margin companies.,donchian_breakout_high_margin_period20_min10,9,9,walk_forward,140.67,123.69,2.55,18.1,-20.53,6.85,42.9,77.8,7,196,1.4,9.7155,0.23,"",0.0,0.0,0.0,0.0,-inf,-4.07,1
stoch_oversold_high_margin,Stochastic Oversold Bounce (High Margin (NPM)),multi_factor,Oversold stochastic readings signal short-term mean reversion as momentum resets. This effect is stronger among high-margin companies.,stoch_oversold_high_margin_kPeriod20_oversold25_dPeriod3_min15_signalWindow5,216,184,walk_forward,131.63,115.97,2.66,2.66,-15.99,8.23,50.5,88.9,6,107,2.07,9.4512,0.289,"",0.0,0.0,0.0,0.0,9.769,26.76,1
donchian_breakout_base,Donchian Breakout (Baseline),breakout,Breaks above multi-week highs tend to continue as shorts cover and momentum traders enter.,donchian_breakout_base_period20,3,3,walk_forward,188.38,164.02,2.95,2.95,-24.29,7.75,45.5,100.0,8,211,1.53,9.4349,0.395,"",0.0,0.0,0.0,0.0,2.9766,9.73,1
sma_trend_low_debt,SMA Trend Filter (Low Debt (DE)),multi_factor,Staying aligned with the prevailing SMA trend improves win rate. This effect is stronger among low-debt stocks.,sma_trend_low_debt_shortPeriod20_longPeriod50_max0.8,12,8,walk_forward,119.76,105.8,2.63,2.63,-29.17,4.11,44.7,88.9,6,179,1.52,9.3595,0.458,"",0.0,0.0,0.0,0.0,7.7994,24.9,1
sma_trend_base,SMA Trend Filter (Baseline),trend,Staying aligned with the prevailing SMA trend improves win rate.,sma_trend_base_shortPeriod30_longPeriod100,4,4,walk_forward,158.81,139.09,1.97,1.97,-25.02,6.35,49.3,77.8,6,134,1.77,9.2797,0.312,"",0.0,0.0,0.0,0.0,9.0337,27.24,1
parabolic_sar_low_debt,Parabolic SAR Trend (Low Debt (DE)),multi_factor,Parabolic SAR flips track trend changes efficiently in trending markets. This effect is stronger among low-debt stocks.,parabolic_sar_low_debt_afMax0.15_afStep0.02_max0.8,12,12,walk_forward,153.99,135.01,5.36,5.36,-25.18,6.11,49.4,100.0,9,156,1.79,9.1408,0.191,"",0.0,0.0,0.0,0.0,8.318,25.25,1
vpt_momentum_high_margin,Volume Price Trend (High Margin (NPM)),multi_factor,VPT momentum suggests demand pressure that sustains price trends. This effect is stronger among high-margin companies.,vpt_momentum_high_margin_min15,3,3,walk_forward,87.0,77.5,1.96,12.54,-16.16,5.38,44.1,77.8,5,143,1.39,8.984,0.226,"",0.0,0.0,0.0,0.0,-inf,-4.31,1
sector_rotation,Sector Rotation,regime,Sector relative strength rotation persists over 1-3 months.,sector_rotation_v0,1,1,walk_forward,154.21,135.2,3.16,3.16,-20.41,7.55,45.6,100.0,8,182,1.53,8.8704,0.0,"",0.0,0.0,0.0,0.0,6.3008,18.12,1
adx_trend_base,ADX Trend Strength (Baseline),trend,Trends with stronger ADX are more likely to continue.,adx_trend_base_period14_threshold20,6,6,walk_forward,148.05,129.96,3.66,3.66,-22.61,6.55,44.5,100.0,9,182,1.52,8.7916,0.675,"",0.0,0.0,0.0,0.0,2.8944,9.01,1
stoch_oversold_base,Stochastic Oversold Bounce (Baseline),mean_reversion,Oversold stochastic readings signal short-term mean reversion as momentum resets.,stoch_oversold_base_kPeriod10_oversold30_dPeriod3_signalWindow5,72,66,walk_forward,141.03,123.99,3.8,3.8,-18.2,7.75,46.8,100.0,9,139,1.79,8.7722,0.267,"",0.0,0.0,0.0,0.0,2.4485,6.48,1
keltner_oversold_value_pe_atr_risk,Keltner Oversold + ATR Risk (Value PE),multi_factor,ATR-based exits improve mean-reversion risk control in low-PE names.,keltner_oversold_value_pe_atr_risk_period20_atrPeriod14_multiplier2.0_max12_atrMultiplier2.0_riskRewardRatio1.5,729,696,walk_forward,165.06,144.38,3.27,3.27,-17.23,9.58,51.6,100.0,7,91,2.19,8.7086,0.292,"",0.0,0.0,0.0,0.0,-inf,23.92,1
supertrend_low_debt,Supertrend Continuation (Low Debt (DE)),multi_factor,Supertrend flips capture persistent trends with adaptive volatility bands. This effect is stronger among low-debt stocks.,supertrend_low_debt_period14_multiplier2.0_max0.8,64,64,walk_forward,143.93,126.46,3.63,3.63,-29.17,4.93,45.0,100.0,9,202,1.54,8.6473,0.348,"",0.0,0.0,0.0,0.0,7.3782,23.7,1
obv_trend_high_margin,OBV Trend (High Margin (NPM)),multi_factor,OBV uptrends reveal accumulation that precedes price moves. This effect is stronger among high-margin companies.,obv_trend_high_margin_min10,3,3,walk_forward,93.72,83.33,3.31,3.31,-15.71,5.97,44.0,100.0,7,141,1.51,8.5681,0.176,"",0.0,0.0,0.0,0.0,3.8913,9.89,1
pivot_support_low_debt,Pivot Support Bounce (Low Debt (DE)),multi_factor,Prices tend to bounce after testing pivot support levels due to order clustering. This effect is stronger among low-debt stocks.,pivot_support_low_debt_max0.4_signalWindow7,16,10,walk_forward,147.23,129.27,3.35,3.35,-29.62,4.97,43.1,100.0,7,211,1.44,8.4933,0.239,"",0.0,0.0,0.0,0.0,1.9673,8.37,1
accumulation_distribution,Accumulation Distribution,volume,Accumulation/Distribution uptrends signal stealth buying.,accumulation_distribution_v0,1,1,walk_forward,153.49,134.58,2.76,2.76,-17.55,8.74,45.7,100.0,9,175,1.57,8.4548,0.0,"",0.0,0.0,0.0,0.0,8.0601,21.67,1
obv_trend_largecap,OBV Trend (Large Cap),volume,OBV uptrends reveal accumulation that precedes price moves. This effect is stronger in large-cap stocks.,obv_trend_largecap_v0,1,1,walk_forward,90.5,80.54,3.1,3.1,-17.07,5.3,43.8,100.0,8,153,1.41,7.9858,0.0,"",0.0,0.0,0.0,0.0,2.1541,5.24,1
stoch_oversold_value_pbv,Stochastic Oversold Bounce (Value (PBV)),multi_factor,Oversold stochastic readings signal short-term mean reversion as momentum resets. This effect is stronger among low-PBV stocks.,stoch_oversold_value_pbv_kPeriod10_oversold30_dPeriod3_max1.2_signalWindow7,216,174,walk_forward,128.85,113.59,3.68,3.68,-13.68,9.42,51.2,100.0,8,121,1.95,7.7389,0.311,"",0.0,0.0,0.0,0.0,12.817,34.81,1
parabolic_sar_syariah,Parabolic SAR Trend (Syariah),trend,Parabolic SAR flips track trend changes efficiently in trending markets. This effect is stronger within the syariah universe.,parabolic_sar_syariah_afMax0.15_afStep0.02,4,4,walk_forward,118.72,104.91,5.96,5.96,-23.9,4.97,45.5,100.0,8,167,1.63,7.7384,1.0,"",0.0,0.0,0.0,0.0,9.3971,27.96,1
adx_trend_largecap,ADX Trend Strength (Large Cap),trend,Trends with stronger ADX are more likely to continue. This effect is stronger in large-cap stocks.,adx_trend_largecap_period14_threshold20,6,6,walk_forward,116.98,103.42,3.17,3.17,-25.76,4.54,43.3,88.9,8,178,1.43,7.6072,0.576,"",0.0,0.0,0.0,0.0,-inf,-3.6,1
volatility_breakout_value_pbv,Volatility Breakout (Value (PBV)),multi_factor,Volatility spikes often mark the start of directional moves. This effect is stronger among low-PBV stocks.,volatility_breakout_value_pbv_period15_multiplier2.0_max1.6,27,12,walk_forward,91.37,81.3,1.83,14.47,-18.71,4.88,41.0,66.7,5,205,1.44,7.3127,0.25,"",0.0,0.0,0.0,0.0,12.0679,34.11,1
obv_trend_base,OBV Trend (Baseline),volume,OBV uptrends reveal accumulation that precedes price moves.,obv_trend_base_v0,1,1,walk_forward,101.14,89.76,3.98,3.98,-17.21,5.88,44.7,100.0,9,159,1.48,7.2811,0.0,"",0.0,0.0,0.0,0.0,3.8518,10.21,1
vpt_momentum_largecap,Volume Price Trend (Large Cap),volume,VPT momentum suggests demand pressure that sustains price trends. This effect is stronger in large-cap stocks.,vpt_momentum_largecap_v0,1,1,walk_forward,107.52,95.27,2.75,2.75,-23.09,4.66,44.3,88.9,8,158,1.44,7.2052,0.0,"",0.0,0.0,0.0,0.0,1.5494,5.31,1
bullish_harami,Bullish Harami,candlestick,Bullish harami suggests selling exhaustion and reversal odds.,bullish_harami_v0,1,1,walk_forward,112.14,99.26,5.3,5.3,-23.31,4.81,45.6,100.0,9,169,1.56,6.9697,0.0,"",0.0,0.0,0.0,0.0,3.687,11.48,1
stoch_oversold_syariah,Stochastic Oversold Bounce (Syariah),mean_reversion,Oversold stochastic readings signal short-term mean reversion as momentum resets. This effect is stronger within the syariah universe.,stoch_oversold_syariah_kPeriod10_oversold30_dPeriod3_signalWindow7,72,66,walk_forward,99.76,88.56,2.82,2.82,-21.87,4.56,44.7,88.9,7,161,1.54,6.6664,0.283,"",0.0,0.0,0.0,0.0,-inf,-7.39,1
supertrend_high_margin,Supertrend Continuation (High Margin (NPM)),multi_factor,Supertrend flips capture persistent trends with adaptive volatility bands. This effect is stronger among high-margin companies.,supertrend_high_margin_period10_multiplier2.5_min15,12,12,walk_forward,125.46,110.69,3.0,3.0,-11.81,10.63,45.1,100.0,8,142,1.52,6.5449,0.443,"",0.0,0.0,0.0,0.0,2.6567,4.94,1
