strategy_id,strategy_name,strategy_category,hypothesis,best_variation,total_variations,valid_variations,selection_mode,cagr,total_return,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,win_rate,consistency_score,beat_benchmark,total_trades,profit_factor,score,parameter_stability,oos_best_variation,oos_validation_score,oos_test_score,oos_test_mean_excess,oos_test_consistency,walk_forward_score,walk_forward_mean_excess,walk_forward_windows
supertrend_base,Supertrend Continuation (Baseline),trend,Supertrend flips capture persistent trends with adaptive volatility bands.,supertrend_base_period10_multiplier2.5_maxHoldingDays30_percent25,36,36,walk_forward,51.04,353.59,1.43,3.81,-17.96,2.84,40.6,73.8,27,256,1.53,2.9577,0.465,"",0.0,0.0,0.0,0.0,13.285,9.09,34
volume_spike_largecap,Volume Spike (Large Cap),volume,Unusual volume signals informed participation and continuation risk/reward. This effect is stronger in large-cap stocks.,volume_spike_largecap_period20_threshold1.3_maxHoldingDays30_percent15,54,42,walk_forward,60.05,460.93,1.8,8.33,-23.52,2.55,44.5,85.7,34,344,1.5,2.7003,0.448,"",0.0,0.0,0.0,0.0,10.1295,9.88,34
volume_spike_adx_base,Volume Spike + ADX Trend (Baseline),volume,Volume spikes are more actionable when trend strength (ADX) confirms direction.,volume_spike_adx_base_period20_threshold1.5_threshold20_maxHoldingDays30_percent22,108,57,walk_forward,58.52,441.61,1.54,5.55,-20.7,2.83,37.8,69.0,31,299,1.46,2.5578,0.46,"",0.0,0.0,0.0,0.0,14.3176,12.44,34
ema_crossover_syariah,EMA Crossover Trend (Syariah),trend,EMA crossovers capture trend accelerations earlier than SMA-based signals. This effect is stronger within the syariah universe.,ema_crossover_syariah_shortPeriod12_longPeriod26_maxHoldingDays30_percent25,36,21,walk_forward,34.98,200.39,0.92,3.35,-16.26,2.15,41.4,61.9,25,244,1.49,2.5564,0.489,"",0.0,0.0,0.0,0.0,3.8537,3.8,34
adx_trend_value_pbv,ADX Trend Strength (Value (PBV)),multi_factor,Trends with stronger ADX are more likely to continue. This effect is stronger among low-PBV stocks.,adx_trend_value_pbv_period14_threshold20_max1.6,18,18,walk_forward,43.71,277.98,1.03,3.26,-27.41,1.59,38.1,66.7,23,391,1.29,2.3968,0.398,"",0.0,0.0,0.0,0.0,15.6289,9.22,28
pivot_support_syariah,Pivot Support Bounce (Syariah),mean_reversion,Prices tend to bounce after testing pivot support levels due to order clustering. This effect is stronger within the syariah universe.,pivot_support_syariah_v0,1,1,walk_forward,62.73,496.12,1.27,5.93,-23.15,2.71,44.4,64.3,26,961,1.41,2.3724,0.0,"",0.0,0.0,0.0,0.0,10.6825,15.54,22
sma_trend_base,SMA Trend Filter (Baseline),trend,Staying aligned with the prevailing SMA trend improves win rate.,sma_trend_base_shortPeriod30_longPeriod50_maxHoldingDays45_percent25,36,36,walk_forward,46.38,304.35,1.66,7.75,-22.97,2.02,32.7,81.0,29,245,1.13,2.077,0.501,"",0.0,0.0,0.0,0.0,11.8729,13.09,34
sma_trend_largecap,SMA Trend Filter (Large Cap),trend,Staying aligned with the prevailing SMA trend improves win rate. This effect is stronger in large-cap stocks.,sma_trend_largecap_shortPeriod30_longPeriod50_maxHoldingDays45_percent25,36,36,walk_forward,42.32,264.76,1.51,6.04,-23.23,1.82,31.9,76.2,29,238,1.07,1.9638,0.539,"",0.0,0.0,0.0,0.0,7.968,14.03,34
adx_trend_low_debt,ADX Trend Strength (Low Debt (DE)),multi_factor,Trends with stronger ADX are more likely to continue. This effect is stronger among low-debt stocks.,adx_trend_low_debt_period20_threshold20_max0.8,18,12,walk_forward,62.6,494.45,1.13,4.03,-25.99,2.41,38.3,69.0,28,415,1.54,1.9028,0.642,"",0.0,0.0,0.0,0.0,11.5466,10.73,32
parabolic_sar_low_debt,Parabolic SAR Trend (Low Debt (DE)),multi_factor,Parabolic SAR flips track trend changes efficiently in trending markets. This effect is stronger among low-debt stocks.,parabolic_sar_low_debt_afMax0.15_afStep0.02_max0.8,12,8,walk_forward,63.4,505.27,1.32,6.64,-19.88,3.19,41.6,66.7,28,394,1.63,1.857,0.4,"",0.0,0.0,0.0,0.0,7.7031,8.02,30
obv_trend_value_pbv,OBV Trend (Value (PBV)),multi_factor,OBV uptrends reveal accumulation that precedes price moves. This effect is stronger among low-PBV stocks.,obv_trend_value_pbv_max1.6,3,2,walk_forward,36.3,211.3,0.91,2.33,-23.45,1.55,35.7,59.5,27,420,1.14,1.831,0.397,"",0.0,0.0,0.0,0.0,5.5618,8.32,19
volume_spike_value_pe,Volume Spike (Value (PE)),multi_factor,Unusual volume signals informed participation and continuation risk/reward. This effect is stronger among low-PE stocks.,volume_spike_value_pe_period10_threshold2.0_max15,18,14,walk_forward,41.34,255.61,0.97,5.47,-16.28,2.54,42.3,57.1,25,359,1.46,1.4872,0.418,"",0.0,0.0,0.0,0.0,8.329,6.89,34
supertrend_largecap,Supertrend Continuation (Large Cap),trend,Supertrend flips capture persistent trends with adaptive volatility bands. This effect is stronger in large-cap stocks.,supertrend_largecap_period14_multiplier2.5_maxHoldingDays30_percent25,36,36,walk_forward,52.95,374.97,1.38,3.15,-21.3,2.49,40.9,73.8,27,237,1.52,1.4758,0.496,"",0.0,0.0,0.0,0.0,11.707,8.66,34
pivot_support_low_debt_atr_risk,Pivot Support Bounce + ATR Risk (Low Debt),multi_factor,ATR-based exits improve mean-reversion risk control in low-debt names.,pivot_support_low_debt_atr_risk_signalWindow3_max0.4_atrMultiplier2.5_riskRewardRatio2.0,81,48,walk_forward,45.05,291.06,1.19,2.78,-25.36,1.78,44.1,69.0,27,281,1.46,1.4322,0.51,"",0.0,0.0,0.0,0.0,14.6267,12.37,34
stoch_oversold_value_pbv,Stochastic Oversold Bounce (Value (PBV)),multi_factor,Oversold stochastic readings signal short-term mean reversion as momentum resets. This effect is stronger among low-PBV stocks.,stoch_oversold_value_pbv_kPeriod14_oversold30_dPeriod5_max1.2_signalWindow7,216,67,walk_forward,25.11,127.36,0.92,3.76,-16.33,1.54,41.5,61.9,25,275,1.22,1.4108,0.536,"",0.0,0.0,0.0,0.0,8.5605,4.25,34
ema_crossover_largecap,EMA Crossover Trend (Large Cap),trend,EMA crossovers capture trend accelerations earlier than SMA-based signals. This effect is stronger in large-cap stocks.,ema_crossover_largecap_shortPeriod8_longPeriod26_maxHoldingDays45_percent30,36,23,walk_forward,31.59,173.65,1.07,3.44,-26.08,1.21,36.0,64.3,30,172,1.22,1.3944,0.53,"",0.0,0.0,0.0,0.0,14.5873,4.7,29
obv_trend_value_pe,OBV Trend (Value (PE)),multi_factor,OBV uptrends reveal accumulation that precedes price moves. This effect is stronger among low-PE stocks.,obv_trend_value_pe_max15,3,3,walk_forward,54.48,392.66,1.4,3.68,-23.96,2.27,39.6,76.2,27,336,1.26,1.342,0.464,"",0.0,0.0,0.0,0.0,8.0459,6.4,29
volume_spike_value_pbv,Volume Spike (Value (PBV)),multi_factor,Unusual volume signals informed participation and continuation risk/reward. This effect is stronger among low-PBV stocks.,volume_spike_value_pbv_period20_threshold1.5_max1.6,18,8,walk_forward,40.8,250.7,1.15,3.29,-22.76,1.79,38.8,64.3,26,389,1.21,1.2867,0.445,"",0.0,0.0,0.0,0.0,9.3115,4.53,29
